tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-08-01,DKI1 (Bunderan HI),51,68,25,8,29,22,68,PM25,SEDANG
2021-08-02,DKI1 (Bunderan HI),47,63,24,10,25,28,63,PM25,SEDANG
2021-08-03,DKI1 (Bunderan HI),50,68,26,11,19,35,68,PM25,SEDANG
2021-08-04,DKI1 (Bunderan HI),52,70,29,8,24,26,70,PM25,SEDANG
2021-08-05,DKI1 (Bunderan HI),52,66,29,9,21,27,66,PM25,SEDANG
2021-08-06,DKI1 (Bunderan HI),56,73,28,15,11,28,73,PM25,SEDANG
2021-08-07,DKI1 (Bunderan HI),55,71,31,7,18,18,71,PM25,SEDANG
2021-08-08,DKI1 (Bunderan HI),53,69,33,6,23,16,69,PM25,SEDANG
2021-08-09,DKI1 (Bunderan HI),52,60,30,6,25,15,60,PM25,SEDANG
2021-08-10,DKI1 (Bunderan HI),32,50,25,7,29,16,50,PM25,BAIK
2021-08-11,DKI1 (Bunderan HI),55,73,25,10,24,25,73,PM25,SEDANG
2021-08-12,DKI1 (Bunderan HI),55,70,28,8,20,19,70,PM25,SEDANG
2021-08-13,DKI1 (Bunderan HI),56,75,28,10,17,28,75,PM25,SEDANG
2021-08-14,DKI1 (Bunderan HI),65,92,30,15,24,36,92,PM25,SEDANG
2021-08-15,DKI1 (Bunderan HI),56,72,31,8,17,20,72,PM25,SEDANG
2021-08-16,DKI1 (Bunderan HI),53,70,30,8,17,19,70,PM25,SEDANG
2021-08-17,DKI1 (Bunderan HI),56,77,28,13,26,22,77,PM25,SEDANG
2021-08-18,DKI1 (Bunderan HI),59,78,25,11,27,26,78,PM25,SEDANG
2021-08-19,DKI1 (Bunderan HI),60,89,31,15,24,35,89,PM25,SEDANG
2021-08-20,DKI1 (Bunderan HI),58,84,29,11,32,34,84,PM25,SEDANG
2021-08-21,DKI1 (Bunderan HI),59,80,25,13,26,35,80,PM25,SEDANG
2021-08-22,DKI1 (Bunderan HI),59,81,28,14,25,28,81,PM25,SEDANG
2021-08-23,DKI1 (Bunderan HI),56,77,28,10,25,27,77,PM25,SEDANG
2021-08-24,DKI1 (Bunderan HI),59,87,27,12,32,30,87,PM25,SEDANG
2021-08-25,DKI1 (Bunderan HI),62,89,26,12,34,34,89,PM25,SEDANG
2021-08-26,DKI1 (Bunderan HI),56,77,27,10,22,33,77,PM25,SEDANG
2021-08-27,DKI1 (Bunderan HI),62,89,30,11,25,31,89,PM25,SEDANG
2021-08-28,DKI1 (Bunderan HI),65,93,26,11,40,27,93,PM25,SEDANG
2021-08-29,DKI1 (Bunderan HI),65,96,28,12,30,29,96,PM25,SEDANG
2021-08-30,DKI1 (Bunderan HI),79,112,27,17,39,41,112,PM25,TIDAK SEHAT
2021-08-31,DKI1 (Bunderan HI),64,86,27,12,35,33,86,PM25,SEDANG
2021-08-01,DKI2 (Kelapa Gading),55,75,50,9,67,13,75,PM25,SEDANG
2021-08-02,DKI2 (Kelapa Gading),52,69,50,10,59,16,69,PM25,SEDANG
2021-08-03,DKI2 (Kelapa Gading),61,85,53,12,47,25,85,PM25,SEDANG
2021-08-04,DKI2 (Kelapa Gading),64,89,53,9,50,14,89,PM25,SEDANG
2021-08-05,DKI2 (Kelapa Gading),61,79,55,9,58,18,79,PM25,SEDANG
2021-08-06,DKI2 (Kelapa Gading),76,100,58,17,38,31,100,PM25,SEDANG
2021-08-07,DKI2 (Kelapa Gading),63,79,53,8,48,16,79,PM25,SEDANG
2021-08-08,DKI2 (Kelapa Gading),60,78,53,9,57,12,78,PM25,SEDANG
2021-08-09,DKI2 (Kelapa Gading),56,67,52,8,57,10,67,PM25,SEDANG
2021-08-10,DKI2 (Kelapa Gading),36,53,48,8,55,9,55,O3,SEDANG
2021-08-11,DKI2 (Kelapa Gading),58,83,50,10,59,17,83,PM25,SEDANG
2021-08-12,DKI2 (Kelapa Gading),65,88,52,10,47,18,88,PM25,SEDANG
2021-08-13,DKI2 (Kelapa Gading),58,79,51,10,49,19,79,PM25,SEDANG
2021-08-14,DKI2 (Kelapa Gading),69,94,53,11,53,21,94,PM25,SEDANG
2021-08-15,DKI2 (Kelapa Gading),63,84,53,9,46,16,84,PM25,SEDANG
2021-08-16,DKI2 (Kelapa Gading),60,80,54,9,42,17,80,PM25,SEDANG
2021-08-17,DKI2 (Kelapa Gading),62,84,51,9,40,14,84,PM25,SEDANG
2021-08-18,DKI2 (Kelapa Gading),59,83,51,9,42,17,83,PM25,SEDANG
2021-08-19,DKI2 (Kelapa Gading),72,101,55,13,26,36,101,PM25,TIDAK SEHAT
