tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-12-01,DKI1 (Bunderan HI),49,65,33,13,15,12,65,PM25,SEDANG
2021-12-02,DKI1 (Bunderan HI),28,34,31,7,15,5,34,PM25,BAIK
2021-12-03,DKI1 (Bunderan HI),49,31,9,19,7,49,PM25,BAIK,
2021-12-04,DKI1 (Bunderan HI),39,52,35,13,15,9,52,PM25,SEDANG
2021-12-05,DKI1 (Bunderan HI),41,57,39,15,15,9,57,PM25,SEDANG
2021-12-06,DKI1 (Bunderan HI),60,81,55,23,18,11,81,PM25,SEDANG
2021-12-07,DKI1 (Bunderan HI),30,31,34,12,16,9,34,SO2,BAIK
2021-12-08,DKI1 (Bunderan HI),45,60,33,17,18,10,60,PM25,SEDANG
2021-12-09,DKI1 (Bunderan HI),33,50,36,10,21,11,50,PM25,BAIK
2021-12-10,DKI1 (Bunderan HI),46,59,43,14,19,12,59,PM25,SEDANG
2021-12-11,DKI1 (Bunderan HI),28,43,33,8,24,9,43,PM25,BAIK
2021-12-12,DKI1 (Bunderan HI),44,57,32,17,15,7,57,PM25,SEDANG
2021-12-13,DKI1 (Bunderan HI),31,46,34,10,13,6,46,PM25,BAIK
2021-12-14,DKI1 (Bunderan HI),46,61,46,15,16,10,61,PM25,SEDANG
2021-12-15,DKI1 (Bunderan HI),58,75,43,19,20,14,75,PM25,SEDANG
2021-12-16,DKI1 (Bunderan HI),56,74,39,20,24,16,74,PM25,SEDANG
2021-12-17,DKI1 (Bunderan HI),53,71,42,18,24,15,71,PM25,SEDANG
2021-12-18,DKI1 (Bunderan HI),51,63,39,18,22,10,63,PM25,SEDANG
2021-12-19,DKI1 (Bunderan HI),58,81,38,24,33,15,81,PM25,SEDANG
2021-12-20,DKI1 (Bunderan HI),52,63,39,13,23,11,63,PM25,SEDANG
2021-12-21,DKI1 (Bunderan HI),52,74,41,19,22,17,74,PM25,SEDANG
2021-12-22,DKI1 (Bunderan HI),63,85,56,28,25,19,85,PM25,SEDANG
2021-12-23,DKI1 (Bunderan HI),56,77,57,18,20,18,77,PM25,SEDANG
2021-12-24,DKI1 (Bunderan HI),34,52,53,15,17,11,53,SO2,SEDANG
2021-12-25,DKI1 (Bunderan HI),53,68,56,17,17,9,68,PM25,SEDANG
2021-12-26,DKI1 (Bunderan HI),35,53,51,11,22,10,53,PM25,SEDANG
2021-12-27,DKI1 (Bunderan HI),52,71,61,15,20,15,71,PM25,SEDANG
2021-12-28,DKI1 (Bunderan HI),51,65,53,15,18,13,65,PM25,SEDANG
2021-12-29,DKI1 (Bunderan HI),31,49,54,10,24,11,54,SO2,SEDANG
2021-12-30,DKI1 (Bunderan HI),55,71,53,16,23,14,71,PM25,SEDANG
2021-12-31,DKI1 (Bunderan HI),62,85,52,23,20,14,85,PM25,SEDANG
2021-12-01,DKI2 (Kelapa Gading),53,---,8,12,41,30,53,PM10,SEDANG
2021-12-02,DKI2 (Kelapa Gading),32,50,40,7,40,14,50,PM25,BAIK
2021-12-03,DKI2 (Kelapa Gading),34,55,41,9,48,17,55,PM25,SEDANG
2021-12-04,DKI2 (Kelapa Gading),40,63,43,8,43,16,63,PM25,SEDANG
2021-12-05,DKI2 (Kelapa Gading),46,65,44,14,39,24,65,PM25,SEDANG
2021-12-06,DKI2 (Kelapa Gading),61,88,51,18,45,31,88,PM25,SEDANG
2021-12-07,DKI2 (Kelapa Gading),33,58,42,11,43,19,58,PM25,SEDANG
2021-12-08,DKI2 (Kelapa Gading),49,71,31,15,51,30,71,PM25,SEDANG
2021-12-09,DKI2 (Kelapa Gading),31,52,32,8,50,20,52,PM25,SEDANG
2021-12-10,DKI2 (Kelapa Gading),33,54,34,9,41,24,54,PM25,SEDANG
2021-12-11,DKI2 (Kelapa Gading),33,50,33,8,51,22,51,O3,SEDANG
2021-12-12,DKI2 (Kelapa Gading),49,62,40,13,42,22,62,PM25,SEDANG
2021-12-13,DKI2 (Kelapa Gading),31,53,34,9,34,23,53,PM25,SEDANG
2021-12-14,DKI2 (Kelapa Gading),51,65,43,9,35,26,65,PM25,SEDANG
2021-12-15,DKI2 (Kelapa Gading),62,86,44,11,50,30,86,PM25,SEDANG
2021-12-16,DKI2 (Kelapa Gading),---,---,---,---,---,---,0,,TIDAK ADA DATA
2021-12-17,DKI2 (Kelapa Gading),58,75,35,15,57,32,75,PM25,SEDANG
2021-12-18,DKI2 (Kelapa Gading),44,64,35,13,54,24,64,PM25,SEDANG
2021-12-19,DKI2 (Kelapa Gading),65,96,40,21,78,33,96,PM25,SEDANG
2021-12-20,DKI2 (Kelapa Gading),53,67,32,11,58,20,67,PM25,SEDANG
2021-12-21,DKI2 (Kelapa Gading),55,74,40,15,---,33,74,PM25,SEDANG
2021-12-22,DKI2 (Kelapa Gading),65,94,36,21,54,49,94,PM25,SEDANG
2021-12-23,DKI2 (Kelapa Gading),70,99,46,19,42,42,99,PM25,SEDANG
2021-12-24,DKI2 (Kelapa Gading),36,56,35,15,36,27,56,PM25,SEDANG
2021-12-25,DKI2 (Kelapa Gading),53,70,38,19,35,30,70,PM25,SEDANG
2021-12-26,DKI2 (Kelapa Gading),41,55,38,15,37,24,55,PM25,SEDANG
2021-12-27,DKI2 (Kelapa Gading),50,66,35,14,40,24,66,PM25,SEDANG
