tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-02-01,DKI1 (Bunderan HI),59,79,21,26,15,31,79,PM25,SEDANG
2021-02-02,DKI1 (Bunderan HI),30,46,21,14,16,24,46,PM25,BAIK
2021-02-03,DKI1 (Bunderan HI),23,33,19,11,14,19,33,PM25,BAIK
2021-02-04,DKI1 (Bunderan HI),36,53,23,14,12,24,53,PM25,SEDANG
2021-02-05,DKI1 (Bunderan HI),29,36,20,14,12,21,36,PM25,BAIK
2021-02-06,DKI1 (Bunderan HI),27,34,21,8,21,15,34,PM25,BAIK
2021-02-07,DKI1 (Bunderan HI),25,23,19,7,19,12,25,PM10,BAIK
2021-02-08,DKI1 (Bunderan HI),24,26,19,10,18,17,26,PM25,BAIK
2021-02-09,DKI1 (Bunderan HI),33,40,22,12,14,22,40,PM25,BAIK
2021-02-10,DKI1 (Bunderan HI),32,38,21,10,12,16,38,PM25,BAIK
2021-02-11,DKI1 (Bunderan HI),26,37,23,13,9,17,37,PM25,BAIK
2021-02-12,DKI1 (Bunderan HI),41,52,26,16,10,16,52,PM25,SEDANG
2021-02-13,DKI1 (Bunderan HI),25,37,20,9,19,16,37,PM25,BAIK
2021-02-14,DKI1 (Bunderan HI),33,47,18,11,19,19,47,PM25,BAIK
2021-02-15,DKI1 (Bunderan HI),34,47,20,13,17,25,47,PM25,BAIK
2021-02-16,DKI1 (Bunderan HI),26,28,18,11,18,26,28,PM25,BAIK
2021-02-17,DKI1 (Bunderan HI),39,57,23,23,12,33,57,PM25,SEDANG
2021-02-18,DKI1 (Bunderan HI),43,59,29,13,12,29,59,PM25,SEDANG
2021-02-19,DKI1 (Bunderan HI),29,41,19,20,12,23,41,PM25,BAIK
2021-02-20,DKI1 (Bunderan HI),30,38,18,11,18,20,38,PM25,BAIK
2021-02-21,DKI1 (Bunderan HI),31,45,18,10,16,17,45,PM25,BAIK
2021-02-22,DKI1 (Bunderan HI),51,67,20,18,11,23,67,PM25,SEDANG
2021-02-23,DKI1 (Bunderan HI),50,64,22,11,20,23,64,PM25,SEDANG
2021-02-24,DKI1 (Bunderan HI),30,42,22,10,9,16,42,PM25,BAIK
2021-02-25,DKI1 (Bunderan HI),31,48,26,12,14,17,48,PM25,BAIK
2021-02-26,DKI1 (Bunderan HI),29,38,18,13,18,20,38,PM25,BAIK
2021-02-27,DKI1 (Bunderan HI),49,67,23,15,17,31,67,PM25,SEDANG
2021-02-28,DKI1 (Bunderan HI),43,60,19,12,19,18,60,PM25,SEDANG
2021-02-01,DKI2 (Kelapa Gading),64,87,38,16,46,25,87,PM25,SEDANG
2021-02-02,DKI2 (Kelapa Gading),30,42,38,4,55,15,55,O3,SEDANG
2021-02-03,DKI2 (Kelapa Gading),24,35,38,4,42,15,42,O3,BAIK
2021-02-04,DKI2 (Kelapa Gading),33,50,39,7,47,15,50,PM25,BAIK
2021-02-05,DKI2 (Kelapa Gading),25,35,39,5,45,13,45,O3,BAIK
2021-02-06,DKI2 (Kelapa Gading),30,38,37,---,57,9,57,O3,SEDANG
2021-02-07,DKI2 (Kelapa Gading),28,30,37,---,57,5,57,O3,SEDANG
2021-02-08,DKI2 (Kelapa Gading),26,31,37,---,54,12,54,O3,SEDANG
2021-02-09,DKI2 (Kelapa Gading),33,50,39,6,47,16,50,PM25,BAIK
2021-02-10,DKI2 (Kelapa Gading),34,46,39,4,49,10,49,O3,BAIK
2021-02-11,DKI2 (Kelapa Gading),33,49,43,6,35,11,49,PM25,BAIK
2021-02-12,DKI2 (Kelapa Gading),43,62,43,14,33,11,62,PM25,SEDANG
2021-02-13,DKI2 (Kelapa Gading),27,47,38,8,40,11,47,PM25,BAIK
2021-02-14,DKI2 (Kelapa Gading),34,53,40,11,42,14,53,PM25,SEDANG
2021-02-15,DKI2 (Kelapa Gading),36,52,39,13,37,17,52,PM25,SEDANG
2021-02-16,DKI2 (Kelapa Gading),28,41,38,11,42,15,42,O3,BAIK
2021-02-17,DKI2 (Kelapa Gading),41,61,40,25,41,27,61,PM25,SEDANG
2021-02-18,DKI2 (Kelapa Gading),40,55,44,10,41,16,55,PM25,SEDANG
2021-02-19,DKI2 (Kelapa Gading),32,51,42,16,41,20,51,PM25,SEDANG
2021-02-20,DKI2 (Kelapa Gading),31,34,38,8,53,9,53,O3,SEDANG
2021-02-21,DKI2 (Kelapa Gading),36,40,39,9,48,9,48,O3,BAIK
2021-02-22,DKI2 (Kelapa Gading),60,69,42,15,41,19,69,PM25,SEDANG
2021-02-23,DKI2 (Kelapa Gading),48,61,40,9,54,17,61,PM25,SEDANG
2021-02-24,DKI2 (Kelapa Gading),30,39,40,10,33,10,40,SO2,BAIK
2021-02-25,DKI2 (Kelapa Gading),30,45,43,12,45,12,45,PM25,BAIK
2021-02-26,DKI2 (Kelapa Gading),45,54,43,13,---,19,54,PM25,SEDANG
2021-02-27,DKI2 (Kelapa Gading),59,71,44,15,50,20,71,PM25,SEDANG
2021-02-28,DKI2 (Kelapa Gading),66,76,40,14,60,18,76,PM25,SEDANG
2021-02-01,DKI3 (Jagakarsa),73,110,28,18,26,18,110,PM25,TIDAK SEHAT
2021-02-02,DKI3 (Jagakarsa),53,70,25,10,27,14,70,PM25,SEDANG
2021-02-03,DKI3 (Jagakarsa),32,53,27,6,24,9,53,PM25,SEDANG
2021-02-04,DKI3 (Jagakarsa),29,54,26,11,24,13,54,PM25,SEDANG
2021-02-05,DKI3 (Jagakarsa),27,51,24,10,24,12,51,PM25,SEDANG
2021-02-06,DKI3 (Jagakarsa),34,53,24,8,32,12,53,PM25,SEDANG
2021-02-07,DKI3 (Jagakarsa),33,50,24,9,30,13,50,PM25,BAIK
2021-02-08,DKI3 (Jagakarsa),26,42,24,9,35,12,42,PM25,BAIK
2021-02-09,DKI3 (Jagakarsa),33,53,25,9,23,12,53,PM25,SEDANG
2021-02-10,DKI3 (Jagakarsa),50,64,24,11,23,10,64,PM25,SEDANG
2021-02-11,DKI3 (Jagakarsa),38,57,23,6,18,7,57,PM25,SEDANG
2021-02-12,DKI3 (Jagakarsa),63,98,25,13,20,8,98,PM25,SEDANG
2021-02-13,DKI3 (Jagakarsa),59,89,26,12,30,13,89,PM25,SEDANG
2021-02-14,DKI3 (Jagakarsa),55,73,25,11,35,13,73,PM25,SEDANG
2021-02-15,DKI3 (Jagakarsa),40,62,24,9,32,12,62,PM25,SEDANG
2021-02-16,DKI3 (Jagakarsa),36,51,24,9,34,15,51,PM25,SEDANG
2021-02-17,DKI3 (Jagakarsa),46,67,26,15,28,18,67,PM25,SEDANG
2021-02-18,DKI3 (Jagakarsa),53,70,28,8,26,12,70,PM25,SEDANG
2021-02-19,DKI3 (Jagakarsa),28,51,25,13,23,14,51,PM25,SEDANG
2021-02-20,DKI3 (Jagakarsa),45,59,25,13,29,15,59,PM25,SEDANG
2021-02-21,DKI3 (Jagakarsa),29,42,24,7,30,9,42,PM25,BAIK
2021-02-22,DKI3 (Jagakarsa),68,103,26,22,30,14,103,PM25,TIDAK SEHAT
2021-02-23,DKI3 (Jagakarsa),66,90,26,12,29,16,90,PM25,SEDANG
2021-02-24,DKI3 (Jagakarsa),---,---,---,---,---,---,0,,TIDAK ADA DATA
2021-02-25,DKI3 (Jagakarsa),27,54,25,6,24,7,54,PM25,SEDANG
2021-02-26,DKI3 (Jagakarsa),41,61,25,10,40,16,61,PM25,SEDANG
2021-02-27,DKI3 (Jagakarsa),50,73,27,10,41,16,73,PM25,SEDANG
2021-02-28,DKI3 (Jagakarsa),64,94,25,13,27,15,94,PM25,SEDANG
2021-02-01,DKI4 (Lubang Buaya),---,---,---,---,---,---,0,,TIDAK ADA DATA
2021-02-02,DKI4 (Lubang Buaya),37,59,40,14,22,12,59,PM25,SEDANG
2021-02-03,DKI4 (Lubang Buaya),24,52,40,9,21,8,52,PM25,SEDANG
2021-02-04,DKI4 (Lubang Buaya),19,53,40,12,19,10,53,PM25,SEDANG
2021-02-05,DKI4 (Lubang Buaya),19,41,40,12,20,9,41,PM25,BAIK
2021-02-06,DKI4 (Lubang Buaya),18,48,40,7,28,6,48,PM25,BAIK
2021-02-07,DKI4 (Lubang Buaya),25,55,40,10,22,11,55,PM25,SEDANG
2021-02-08,DKI4 (Lubang Buaya),17,44,39,10,21,9,44,PM25,BAIK
2021-02-09,DKI4 (Lubang Buaya),31,57,40,13,19,9,57,PM25,SEDANG
2021-02-10,DKI4 (Lubang Buaya),30,58,40,13,20,8,58,PM25,SEDANG
2021-02-11,DKI4 (Lubang Buaya),21,50,40,7,16,5,50,PM25,BAIK
