tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-01-01,DKI1 (Bunderan HI),38,53,29,6,31,13,53,PM25,SEDANG
2021-01-02,DKI1 (Bunderan HI),27,46,27,7,47,7,47,O3,BAIK
2021-01-03,DKI1 (Bunderan HI),44,58,25,7,40,13,58,PM25,SEDANG
2021-01-04,DKI1 (Bunderan HI),30,48,24,4,32,7,48,PM25,BAIK
2021-01-05,DKI1 (Bunderan HI),38,53,24,6,31,9,53,PM25,SEDANG
2021-01-06,DKI1 (Bunderan HI),41,58,23,13,46,13,58,PM25,SEDANG
2021-01-07,DKI1 (Bunderan HI),35,47,22,6,39,10,47,PM25,BAIK
2021-01-08,DKI1 (Bunderan HI),37,54,26,16,17,10,54,PM25,SEDANG
2021-01-09,DKI1 (Bunderan HI),47,61,16,27,22,12,61,PM25,SEDANG
2021-01-10,DKI1 (Bunderan HI),23,25,16,11,33,8,33,O3,BAIK
2021-01-11,DKI1 (Bunderan HI),38,54,17,14,27,10,54,PM25,SEDANG
2021-01-12,DKI1 (Bunderan HI),29,50,20,12,26,15,50,PM25,BAIK
2021-01-13,DKI1 (Bunderan HI),34,44,17,13,20,9,44,PM25,BAIK
2021-01-14,DKI1 (Bunderan HI),36,57,15,15,26,13,57,PM25,SEDANG
2021-01-15,DKI1 (Bunderan HI),42,62,14,15,32,12,62,PM25,SEDANG
2021-01-16,DKI1 (Bunderan HI),52,73,15,17,25,14,73,PM25,SEDANG
2021-01-17,DKI1 (Bunderan HI),52,71,17,15,26,14,71,PM25,SEDANG
2021-01-18,DKI1 (Bunderan HI),40,52,16,11,26,12,52,PM25,SEDANG
2021-01-19,DKI1 (Bunderan HI),31,41,13,12,25,12,41,PM25,BAIK
2021-01-20,DKI1 (Bunderan HI),35,34,12,12,22,13,35,PM10,BAIK
2021-01-21,DKI1 (Bunderan HI),43,51,13,14,28,15,51,PM25,SEDANG
2021-01-22,DKI1 (Bunderan HI),49,63,14,14,28,15,63,PM25,SEDANG
2021-01-23,DKI1 (Bunderan HI),72,108,14,43,44,20,108,PM25,TIDAK SEHAT
2021-01-24,DKI1 (Bunderan HI),33,48,12,14,23,10,48,PM25,BAIK
2021-01-25,DKI1 (Bunderan HI),56,82,13,29,62,15,82,PM25,SEDANG
2021-01-26,DKI1 (Bunderan HI),52,70,14,19,28,13,70,PM25,SEDANG
2021-01-27,DKI1 (Bunderan HI),20,20,13,10,19,8,20,PM10,BAIK
2021-01-28,DKI1 (Bunderan HI),27,41,14,18,17,11,41,PM25,BAIK
2021-01-29,DKI1 (Bunderan HI),30,53,16,17,24,11,53,PM25,SEDANG
2021-01-30,DKI1 (Bunderan HI),27,37,13,16,24,12,37,PM25,BAIK
2021-01-31,DKI1 (Bunderan HI),36,51,13,16,26,10,51,PM25,SEDANG
2021-01-01,DKI2 (Kelapa Gading),38,58,2,11,65,6,65,O3,SEDANG
2021-01-02,DKI2 (Kelapa Gading),29,46,---,12,80,12,80,O3,SEDANG
2021-01-03,DKI2 (Kelapa Gading),37,59,---,10,86,13,86,O3,SEDANG
2021-01-04,DKI2 (Kelapa Gading),30,49,---,9,77,7,77,O3,SEDANG
2021-01-05,DKI2 (Kelapa Gading),35,52,---,8,77,7,77,O3,SEDANG
2021-01-06,DKI2 (Kelapa Gading),48,60,---,12,85,14,85,O3,SEDANG
2021-01-07,DKI2 (Kelapa Gading),35,50,---,9,72,15,72,O3,SEDANG
2021-01-08,DKI2 (Kelapa Gading),38,55,---,11,71,9,71,O3,SEDANG
2021-01-09,DKI2 (Kelapa Gading),51,67,12,27,80,12,80,O3,SEDANG
2021-01-10,DKI2 (Kelapa Gading),24,39,13,10,59,14,59,O3,SEDANG
2021-01-11,DKI2 (Kelapa Gading),35,54,13,12,68,13,68,O3,SEDANG
2021-01-12,DKI2 (Kelapa Gading),27,51,15,7,77,15,77,O3,SEDANG
2021-01-13,DKI2 (Kelapa Gading),33,44,13,10,68,7,68,O3,SEDANG
2021-01-14,DKI2 (Kelapa Gading),28,49,11,6,65,11,65,O3,SEDANG
2021-01-15,DKI2 (Kelapa Gading),42,60,11,14,65,12,65,O3,SEDANG
2021-01-16,DKI2 (Kelapa Gading),49,71,13,10,67,9,71,PM25,SEDANG
2021-01-17,DKI2 (Kelapa Gading),55,75,16,10,93,10,93,O3,SEDANG
2021-01-18,DKI2 (Kelapa Gading),35,49,13,5,78,9,78,O3,SEDANG
2021-01-19,DKI2 (Kelapa Gading),31,42,11,6,58,9,58,O3,SEDANG
2021-01-20,DKI2 (Kelapa Gading),42,45,11,6,72,6,72,O3,SEDANG
2021-01-21,DKI2 (Kelapa Gading),46,44,12,9,67,13,67,O3,SEDANG
2021-01-22,DKI2 (Kelapa Gading),51,60,12,8,67,16,67,O3,SEDANG
2021-01-23,DKI2 (Kelapa Gading),73,108,14,43,104,19,108,PM25,TIDAK SEHAT
2021-01-24,DKI2 (Kelapa Gading),51,59,12,9,75,7,75,O3,SEDANG
2021-01-25,DKI2 (Kelapa Gading),62,86,14,26,134,14,134,O3,TIDAK SEHAT
2021-01-26,DKI2 (Kelapa Gading),54,76,26,14,71,12,76,PM25,SEDANG
2021-01-27,DKI2 (Kelapa Gading),21,29,25,7,63,5,63,O3,SEDANG
2021-01-28,DKI2 (Kelapa Gading),28,49,25,10,53,7,53,O3,SEDANG
2021-01-29,DKI2 (Kelapa Gading),28,49,26,7,65,9,65,O3,SEDANG
2021-01-30,DKI2 (Kelapa Gading),27,39,25,10,64,8,64,O3,SEDANG
2021-01-31,DKI2 (Kelapa Gading),38,55,24,11,68,7,68,O3,SEDANG
2021-01-01,DKI3 (Jagakarsa),43,56,15,10,33,5,56,PM25,SEDANG
2021-01-02,DKI3 (Jagakarsa),58,86,15,22,38,5,86,PM25,SEDANG
2021-01-03,DKI3 (Jagakarsa),64,93,14,20,35,5,93,PM25,SEDANG
2021-01-04,DKI3 (Jagakarsa),50,67,13,15,17,4,67,PM25,SEDANG
2021-01-05,DKI3 (Jagakarsa),59,89,15,19,42,7,89,PM25,SEDANG
2021-01-06,DKI3 (Jagakarsa),52,81,18,28,52,11,81,PM25,SEDANG
2021-01-07,DKI3 (Jagakarsa),22,52,16,12,44,5,52,PM25,SEDANG
2021-01-08,DKI3 (Jagakarsa),26,68,21,22,40,9,68,PM25,SEDANG
2021-01-09,DKI3 (Jagakarsa),25,77,17,32,31,8,77,PM25,SEDANG
2021-01-10,DKI3 (Jagakarsa),15,33,16,7,23,4,33,PM25,BAIK
2021-01-11,DKI3 (Jagakarsa),---,72,17,15,56,4,72,PM25,SEDANG
2021-01-12,DKI3 (Jagakarsa),---,58,18,9,37,4,58,PM25,SEDANG
2021-01-13,DKI3 (Jagakarsa),26,47,16,6,39,3,47,PM25,BAIK
2021-01-14,DKI3 (Jagakarsa),29,78,20,14,40,8,78,PM25,SEDANG
2021-01-15,DKI3 (Jagakarsa),24,82,19,16,64,6,82,PM25,SEDANG
2021-01-16,DKI3 (Jagakarsa),70,92,19,16,60,7,92,PM25,SEDANG
2021-01-17,DKI3 (Jagakarsa),58,86,22,11,43,9,86,PM25,SEDANG
2021-01-18,DKI3 (Jagakarsa),51,64,21,7,38,5,64,PM25,SEDANG
2021-01-19,DKI3 (Jagakarsa),42,56,19,7,37,6,56,PM25,SEDANG
2021-01-20,DKI3 (Jagakarsa),46,---,17,17,41,10,46,PM10,BAIK
2021-01-21,DKI3 (Jagakarsa),52,---,18,19,44,9,52,PM10,SEDANG
2021-01-22,DKI3 (Jagakarsa),84,112,20,33,57,10,112,PM25,TIDAK SEHAT
2021-01-23,DKI3 (Jagakarsa),89,126,19,42,64,13,126,PM25,TIDAK SEHAT
2021-01-24,DKI3 (Jagakarsa),64,90,19,31,34,10,90,PM25,SEDANG
2021-01-25,DKI3 (Jagakarsa),60,95,18,23,67,8,95,PM25,SEDANG
