tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-07-01,DKI1 (Bunderan HI),55,76,27,14,20,31,76,PM25,SEDANG
2021-07-02,DKI1 (Bunderan HI),55,70,33,16,14,30,70,PM25,SEDANG
2021-07-03,DKI1 (Bunderan HI),58,81,33,12,19,25,81,PM25,SEDANG
2021-07-04,DKI1 (Bunderan HI),68,102,27,11,27,22,102,PM25,TIDAK SEHAT
2021-07-05,DKI1 (Bunderan HI),71,106,28,12,34,25,106,PM25,TIDAK SEHAT
2021-07-06,DKI1 (Bunderan HI),56,74,26,9,29,29,74,PM25,SEDANG
2021-07-07,DKI1 (Bunderan HI),64,86,34,10,22,27,86,PM25,SEDANG
2021-07-08,DKI1 (Bunderan HI),68,94,32,10,26,26,94,PM25,SEDANG
2021-07-09,DKI1 (Bunderan HI),70,101,33,9,28,25,101,PM25,TIDAK SEHAT
2021-07-10,DKI1 (Bunderan HI),64,83,35,7,24,23,83,PM25,SEDANG
2021-07-11,DKI1 (Bunderan HI),54,71,32,6,21,15,71,PM25,SEDANG
2021-07-12,DKI1 (Bunderan HI),46,59,29,5,18,13,59,PM25,SEDANG
2021-07-13,DKI1 (Bunderan HI),63,89,33,10,18,24,89,PM25,SEDANG
2021-07-14,DKI1 (Bunderan HI),53,69,28,10,17,23,69,PM25,SEDANG
2021-07-15,DKI1 (Bunderan HI),66,95,31,12,24,30,95,PM25,SEDANG
2021-07-16,DKI1 (Bunderan HI),71,97,30,11,24,29,97,PM25,SEDANG
2021-07-17,DKI1 (Bunderan HI),63,80,29,8,28,20,80,PM25,SEDANG
2021-07-18,DKI1 (Bunderan HI),63,89,31,8,32,19,89,PM25,SEDANG
2021-07-19,DKI1 (Bunderan HI),66,95,26,10,32,28,95,PM25,SEDANG
2021-07-20,DKI1 (Bunderan HI),74,100,27,15,24,24,100,PM25,SEDANG
2021-07-21,DKI1 (Bunderan HI),48,66,27,7,26,17,66,PM25,SEDANG
2021-07-22,DKI1 (Bunderan HI),53,76,31,9,24,26,76,PM25,SEDANG
2021-07-23,DKI1 (Bunderan HI),58,80,26,9,27,28,80,PM25,SEDANG
2021-07-24,DKI1 (Bunderan HI),53,79,26,13,21,34,79,PM25,SEDANG
2021-07-25,DKI1 (Bunderan HI),70,108,25,23,28,38,108,PM25,TIDAK SEHAT
2021-07-26,DKI1 (Bunderan HI),65,95,27,14,17,32,95,PM25,SEDANG
