tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-03-01,DKI1 (Bunderan HI),37,60,20,12,12,17,60,PM25,SEDANG
2021-03-02,DKI1 (Bunderan HI),38,55,20,15,14,28,55,PM25,SEDANG
2021-03-03,DKI1 (Bunderan HI),49,67,19,21,17,35,67,PM25,SEDANG
2021-03-04,DKI1 (Bunderan HI),51,75,22,18,19,31,75,PM25,SEDANG
2021-03-05,DKI1 (Bunderan HI),52,69,20,16,16,30,69,PM25,SEDANG
2021-03-06,DKI1 (Bunderan HI),51,73,20,22,15,37,73,PM25,SEDANG
2021-03-07,DKI1 (Bunderan HI),57,88,23,23,19,31,88,PM25,SEDANG
2021-03-08,DKI1 (Bunderan HI),47,63,21,16,11,19,63,PM25,SEDANG
2021-03-09,DKI1 (Bunderan HI),36,50,23,15,10,22,50,PM25,BAIK
2021-03-10,DKI1 (Bunderan HI),45,65,20,20,14,27,65,PM25,SEDANG
2021-03-11,DKI1 (Bunderan HI),27,35,19,9,15,21,35,PM25,BAIK
2021-03-12,DKI1 (Bunderan HI),44,58,24,12,13,25,58,PM25,SEDANG
2021-03-13,DKI1 (Bunderan HI),37,62,27,13,13,25,62,PM25,SEDANG
2021-03-14,DKI1 (Bunderan HI),39,60,23,14,10,19,60,PM25,SEDANG
2021-03-15,DKI1 (Bunderan HI),45,70,29,18,13,34,70,PM25,SEDANG
2021-03-16,DKI1 (Bunderan HI),55,80,32,13,21,36,80,PM25,SEDANG
2021-03-17,DKI1 (Bunderan HI),59,93,25,19,20,45,93,PM25,SEDANG
2021-03-18,DKI1 (Bunderan HI),64,102,30,15,25,40,102,PM25,TIDAK SEHAT
2021-03-19,DKI1 (Bunderan HI),60,88,29,14,24,35,88,PM25,SEDANG
2021-03-20,DKI1 (Bunderan HI),55,80,28,16,19,31,80,PM25,SEDANG
2021-03-21,DKI1 (Bunderan HI),43,55,21,11,18,17,55,PM25,SEDANG
2021-03-22,DKI1 (Bunderan HI),38,61,21,13,14,18,61,PM25,SEDANG
2021-03-23,DKI1 (Bunderan HI),37,54,23,11,12,16,54,PM25,SEDANG
2021-03-24,DKI1 (Bunderan HI),32,53,21,10,9,15,53,PM25,SEDANG
2021-03-25,DKI1 (Bunderan HI),25,47,22,9,14,17,47,PM25,BAIK
2021-03-26,DKI1 (Bunderan HI),50,69,23,19,19,28,69,PM25,SEDANG
2021-03-27,DKI1 (Bunderan HI),53,71,29,13,18,33,71,PM25,SEDANG
2021-03-28,DKI1 (Bunderan HI),54,75,20,15,31,31,75,PM25,SEDANG
2021-03-29,DKI1 (Bunderan HI),55,77,19,19,21,37,77,PM25,SEDANG
2021-03-30,DKI1 (Bunderan HI),53,69,24,15,14,30,69,PM25,SEDANG
2021-03-31,DKI1 (Bunderan HI),43,57,22,13,15,23,57,PM25,SEDANG
2021-03-01,DKI2 (Kelapa Gading),48,66,45,13,38,18,66,PM25,SEDANG
2021-03-02,DKI2 (Kelapa Gading),55,61,50,12,53,21,61,PM25,SEDANG
2021-03-03,DKI2 (Kelapa Gading),59,76,46,19,50,30,76,PM25,SEDANG
2021-03-04,DKI2 (Kelapa Gading),56,79,45,16,49,28,79,PM25,SEDANG
2021-03-05,DKI2 (Kelapa Gading),65,81,54,16,59,26,81,PM25,SEDANG
2021-03-06,DKI2 (Kelapa Gading),71,89,59,23,52,31,89,PM25,SEDANG
2021-03-07,DKI2 (Kelapa Gading),60,84,29,23,51,27,84,PM25,SEDANG
2021-03-08,DKI2 (Kelapa Gading),52,65,28,16,41,15,65,PM25,SEDANG
2021-03-09,DKI2 (Kelapa Gading),51,55,27,13,33,15,55,PM25,SEDANG
2021-03-10,DKI2 (Kelapa Gading),56,81,42,21,42,26,81,PM25,SEDANG
2021-03-11,DKI2 (Kelapa Gading),38,50,26,9,43,9,50,PM25,BAIK
2021-03-12,DKI2 (Kelapa Gading),51,60,27,12,45,19,60,PM25,SEDANG
2021-03-13,DKI2 (Kelapa Gading),40,58,29,11,41,16,58,PM25,SEDANG
2021-03-14,DKI2 (Kelapa Gading),50,62,27,12,37,15,62,PM25,SEDANG
2021-03-15,DKI2 (Kelapa Gading),51,72,33,15,49,19,72,PM25,SEDANG
2021-03-16,DKI2 (Kelapa Gading),67,89,41,13,57,25,89,PM25,SEDANG
2021-03-17,DKI2 (Kelapa Gading),78,107,55,20,53,41,107,PM25,TIDAK SEHAT
2021-03-18,DKI2 (Kelapa Gading),78,115,43,14,74,23,115,PM25,TIDAK SEHAT
2021-03-19,DKI2 (Kelapa Gading),73,93,39,13,59,26,93,PM25,SEDANG
2021-03-20,DKI2 (Kelapa Gading),61,94,41,15,56,24,94,PM25,SEDANG
2021-03-21,DKI2 (Kelapa Gading),47,58,29,11,51,14,58,PM25,SEDANG
2021-03-22,DKI2 (Kelapa Gading),45,67,30,13,43,17,67,PM25,SEDANG
2021-03-23,DKI2 (Kelapa Gading),48,55,30,9,44,11,55,PM25,SEDANG
2021-03-24,DKI2 (Kelapa Gading),33,57,27,11,37,8,57,PM25,SEDANG
2021-03-25,DKI2 (Kelapa Gading),36,53,29,9,41,13,53,PM25,SEDANG
2021-03-26,DKI2 (Kelapa Gading),57,77,35,18,53,21,77,PM25,SEDANG
2021-03-27,DKI2 (Kelapa Gading),62,83,49,12,63,19,83,PM25,SEDANG
2021-03-28,DKI2 (Kelapa Gading),57,76,43,15,71,18,76,PM25,SEDANG
2021-03-29,DKI2 (Kelapa Gading),65,88,48,18,67,25,88,PM25,SEDANG
2021-03-30,DKI2 (Kelapa Gading),53,68,34,13,55,17,68,PM25,SEDANG
2021-03-31,DKI2 (Kelapa Gading),39,58,30,12,48,18,58,PM25,SEDANG
2021-03-01,DKI3 (Jagakarsa),62,97,28,13,21,14,97,PM25,SEDANG
2021-03-02,DKI3 (Jagakarsa),54,71,26,13,41,14,71,PM25,SEDANG
2021-03-03,DKI3 (Jagakarsa),57,83,27,18,38,20,83,PM25,SEDANG
2021-03-04,DKI3 (Jagakarsa),56,77,29,13,28,19,77,PM25,SEDANG
2021-03-05,DKI3 (Jagakarsa),54,77,31,11,39,20,77,PM25,SEDANG
2021-03-06,DKI3 (Jagakarsa),54,80,27,17,34,18,80,PM25,SEDANG
2021-03-07,DKI3 (Jagakarsa),64,93,28,18,31,19,93,PM25,SEDANG
2021-03-08,DKI3 (Jagakarsa),53,77,28,11,18,10,77,PM25,SEDANG
2021-03-09,DKI3 (Jagakarsa),41,63,30,7,19,10,63,PM25,SEDANG
2021-03-10,DKI3 (Jagakarsa),60,89,28,14,25,14,89,PM25,SEDANG
2021-03-11,DKI3 (Jagakarsa),29,52,26,7,28,11,52,PM25,SEDANG
2021-03-12,DKI3 (Jagakarsa),66,99,29,13,29,15,99,PM25,SEDANG
2021-03-13,DKI3 (Jagakarsa),53,72,29,7,23,9,72,PM25,SEDANG
2021-03-14,DKI3 (Jagakarsa),52,73,28,10,16,10,73,PM25,SEDANG
2021-03-15,DKI3 (Jagakarsa),51,76,28,9,25,10,76,PM25,SEDANG
2021-03-16,DKI3 (Jagakarsa),59,88,40,8,41,18,88,PM25,SEDANG
2021-03-17,DKI3 (Jagakarsa),71,106,32,11,39,19,106,PM25,TIDAK SEHAT
2021-03-18,DKI3 (Jagakarsa),61,99,35,7,42,18,99,PM25,SEDANG
2021-03-19,DKI3 (Jagakarsa),59,87,33,7,39,14,87,PM25,SEDANG
2021-03-20,DKI3 (Jagakarsa),65,106,31,12,45,17,106,PM25,TIDAK SEHAT
2021-03-21,DKI3 (Jagakarsa),81,118,27,15,37,16,118,PM25,TIDAK SEHAT
2021-03-22,DKI3 (Jagakarsa),62,93,26,15,36,10,93,PM25,SEDANG
2021-03-23,DKI3 (Jagakarsa),51,77,26,9,27,8,77,PM25,SEDANG
2021-03-24,DKI3 (Jagakarsa),43,64,26,6,27,8,64,PM25,SEDANG
2021-03-25,DKI3 (Jagakarsa),38,62,26,7,28,9,62,PM25,SEDANG
2021-03-26,DKI3 (Jagakarsa),55,79,27,13,39,11,79,PM25,SEDANG
2021-03-27,DKI3 (Jagakarsa),51,73,30,11,56,19,73,PM25,SEDANG
2021-03-28,DKI3 (Jagakarsa),47,63,27,10,43,17,63,PM25,SEDANG
2021-03-29,DKI3 (Jagakarsa),51,19,26,14,48,21,51,PM10,SEDANG
2021-03-30,DKI3 (Jagakarsa),59,24,29,10,33,20,59,PM10,SEDANG
2021-03-31,DKI3 (Jagakarsa),56,22,12,18,32,25,56,PM10,SEDANG
2021-03-01,DKI4 (Lubang Buaya),56,96,40,13,19,9,96,PM25,SEDANG
2021-03-02,DKI4 (Lubang Buaya),46,81,39,17,29,14,81,PM25,SEDANG
