tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-05-01,DKI1 (Bunderan HI),52,71,23,10,20,33,71,PM25,SEDANG
2021-05-02,DKI1 (Bunderan HI),50,67,22,9,18,17,67,PM25,SEDANG
2021-05-03,DKI1 (Bunderan HI),53,70,26,10,20,20,70,PM25,SEDANG
2021-05-04,DKI1 (Bunderan HI),59,77,31,14,14,26,77,PM25,SEDANG
2021-05-05,DKI1 (Bunderan HI),58,82,22,18,14,38,82,PM25,SEDANG
2021-05-06,DKI1 (Bunderan HI),49,65,19,16,18,38,65,PM25,SEDANG
2021-05-07,DKI1 (Bunderan HI),54,70,20,26,19,45,70,PM25,SEDANG
2021-05-08,DKI1 (Bunderan HI),52,69,20,12,19,28,69,PM25,SEDANG
2021-05-09,DKI1 (Bunderan HI),41,57,18,9,26,21,57,PM25,SEDANG
2021-05-10,DKI1 (Bunderan HI),47,69,19,10,25,21,69,PM25,SEDANG
2021-05-11,DKI1 (Bunderan HI),60,88,24,12,25,24,88,PM25,SEDANG
2021-05-12,DKI1 (Bunderan HI),59,79,21,10,25,21,79,PM25,SEDANG
2021-05-13,DKI1 (Bunderan HI),70,110,24,14,24,20,110,PM25,TIDAK SEHAT
2021-05-14,DKI1 (Bunderan HI),52,72,24,8,25,14,72,PM25,SEDANG
2021-05-15,DKI1 (Bunderan HI),51,67,26,11,20,19,67,PM25,SEDANG
2021-05-16,DKI1 (Bunderan HI),51,65,23,8,20,16,65,PM25,SEDANG
2021-05-17,DKI1 (Bunderan HI),47,65,22,11,24,24,65,PM25,SEDANG
2021-05-18,DKI1 (Bunderan HI),40,54,24,10,23,26,54,PM25,SEDANG
2021-05-19,DKI1 (Bunderan HI),52,69,23,17,19,36,69,PM25,SEDANG
2021-05-20,DKI1 (Bunderan HI),57,79,24,12,23,27,79,PM25,SEDANG
2021-05-21,DKI1 (Bunderan HI),52,76,24,15,22,34,76,PM25,SEDANG
2021-05-22,DKI1 (Bunderan HI),56,79,22,16,28,36,79,PM25,SEDANG
2021-05-23,DKI1 (Bunderan HI),60,91,24,21,27,37,91,PM25,SEDANG
2021-05-24,DKI1 (Bunderan HI),74,108,22,20,23,38,108,PM25,TIDAK SEHAT
2021-05-25,DKI1 (Bunderan HI),44,60,23,15,23,35,60,PM25,SEDANG
2021-05-26,DKI1 (Bunderan HI),56,77,27,11,21,24,77,PM25,SEDANG
2021-05-27,DKI1 (Bunderan HI),51,64,27,8,16,20,64,PM25,SEDANG
2021-05-28,DKI1 (Bunderan HI),54,70,29,12,16,24,70,PM25,SEDANG
2021-05-29,DKI1 (Bunderan HI),56,76,23,14,17,32,76,PM25,SEDANG
2021-05-30,DKI1 (Bunderan HI),47,61,24,16,18,29,61,PM25,SEDANG
2021-05-31,DKI1 (Bunderan HI),55,73,21,15,19,33,73,PM25,SEDANG
2021-05-01,DKI2 (Kelapa Gading),62,74,51,10,57,14,74,PM25,SEDANG
2021-05-02,DKI2 (Kelapa Gading),55,73,47,9,53,---,73,PM25,SEDANG
2021-05-03,DKI2 (Kelapa Gading),59,74,50,9,51,11,74,PM25,SEDANG
2021-05-04,DKI2 (Kelapa Gading),68,82,54,12,39,17,82,PM25,SEDANG
2021-05-05,DKI2 (Kelapa Gading),64,83,53,14,45,20,83,PM25,SEDANG
2021-05-06,DKI2 (Kelapa Gading),57,72,53,13,66,21,72,PM25,SEDANG
2021-05-07,DKI2 (Kelapa Gading),67,83,61,20,46,33,83,PM25,SEDANG
2021-05-08,DKI2 (Kelapa Gading),60,79,53,11,54,17,79,PM25,SEDANG
2021-05-09,DKI2 (Kelapa Gading),46,59,46,9,61,7,61,O3,SEDANG
2021-05-10,DKI2 (Kelapa Gading),55,73,51,10,58,8,73,PM25,SEDANG
2021-05-11,DKI2 (Kelapa Gading),69,87,50,11,57,12,87,PM25,SEDANG
2021-05-12,DKI2 (Kelapa Gading),67,87,52,10,63,8,87,PM25,SEDANG
2021-05-13,DKI2 (Kelapa Gading),81,112,49,13,48,9,112,PM25,TIDAK SEHAT
2021-05-14,DKI2 (Kelapa Gading),56,70,51,9,52,---,70,PM25,SEDANG
2021-05-15,DKI2 (Kelapa Gading),54,67,54,10,40,---,67,PM25,SEDANG
2021-05-16,DKI2 (Kelapa Gading),52,---,50,9,52,---,52,PM10,SEDANG
2021-05-17,DKI2 (Kelapa Gading),54,70,55,11,51,13,70,PM25,SEDANG
2021-05-18,DKI2 (Kelapa Gading),41,55,48,8,49,10,55,PM25,SEDANG
2021-05-19,DKI2 (Kelapa Gading),56,77,52,13,55,21,77,PM25,SEDANG
2021-05-20,DKI2 (Kelapa Gading),66,87,53,12,56,17,87,PM25,SEDANG
2021-05-21,DKI2 (Kelapa Gading),60,81,58,13,65,21,81,PM25,SEDANG
