tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-11-01,DKI1 (Bunderan HI),58,85,32,16,22,41,85,PM25,SEDANG
2021-11-02,DKI1 (Bunderan HI),50,63,29,14,22,35,63,PM25,SEDANG
2021-11-03,DKI1 (Bunderan HI),49,63,33,13,21,38,63,PM25,SEDANG
2021-11-04,DKI1 (Bunderan HI),57,83,30,17,34,47,83,PM25,SEDANG
2021-11-05,DKI1 (Bunderan HI),56,75,31,19,18,46,75,PM25,SEDANG
2021-11-06,DKI1 (Bunderan HI),55,72,30,13,22,40,72,PM25,SEDANG
2021-11-07,DKI1 (Bunderan HI),38,56,27,8,23,25,56,PM25,SEDANG
2021-11-08,DKI1 (Bunderan HI),38,55,29,18,15,32,55,PM25,SEDANG
2021-11-09,DKI1 (Bunderan HI),55,73,32,14,17,38,73,PM25,SEDANG
2021-11-10,DKI1 (Bunderan HI),38,55,28,10,16,25,55,PM25,SEDANG
2021-11-11,DKI1 (Bunderan HI),41,55,48,12,13,15,55,PM25,SEDANG
2021-11-12,DKI1 (Bunderan HI),32,49,31,10,16,9,49,PM25,BAIK
2021-11-13,DKI1 (Bunderan HI),51,70,36,16,27,12,70,PM25,SEDANG
2021-11-14,DKI1 (Bunderan HI),42,53,29,11,18,7,53,PM25,SEDANG
2021-11-15,DKI1 (Bunderan HI),27,39,30,8,16,7,39,PM25,BAIK
2021-11-16,DKI1 (Bunderan HI),31,47,31,8,11,6,47,PM25,BAIK
2021-11-17,DKI1 (Bunderan HI),55,71,50,13,15,9,71,PM25,SEDANG
2021-11-18,DKI1 (Bunderan HI),55,75,43,18,19,13,75,PM25,SEDANG
2021-11-19,DKI1 (Bunderan HI),28,40,31,7,16,5,40,PM25,BAIK
2021-11-20,DKI1 (Bunderan HI),28,44,33,7,13,6,44,PM25,BAIK
2021-11-21,DKI1 (Bunderan HI),41,54,33,15,16,6,54,PM25,SEDANG
2021-11-22,DKI1 (Bunderan HI),27,33,32,7,14,5,33,PM25,BAIK
2021-11-23,DKI1 (Bunderan HI),20,30,32,7,13,5,32,SO2,BAIK
2021-11-24,DKI1 (Bunderan HI),23,35,30,8,12,6,35,PM25,BAIK
2021-11-25,DKI1 (Bunderan HI),39,57,34,10,11,7,57,PM25,SEDANG
2021-11-26,DKI1 (Bunderan HI),34,56,32,12,9,7,56,PM25,SEDANG
2021-11-27,DKI1 (Bunderan HI),30,37,30,10,8,5,37,PM25,BAIK
2021-11-28,DKI1 (Bunderan HI),19,20,29,5,14,4,29,SO2,BAIK
2021-11-29,DKI1 (Bunderan HI),23,28,30,7,12,5,30,SO2,BAIK
2021-11-30,DKI1 (Bunderan HI),29,50,31,9,18,7,50,PM25,BAIK
2021-11-01,DKI2 (Kelapa Gading),64,88,77,12,48,28,88,PM25,SEDANG
2021-11-02,DKI2 (Kelapa Gading),51,70,13,14,49,34,70,PM25,SEDANG
2021-11-03,DKI2 (Kelapa Gading),52,---,14,---,41,27,52,PM10,SEDANG
2021-11-04,DKI2 (Kelapa Gading),63,95,20,13,63,42,95,PM25,SEDANG
2021-11-05,DKI2 (Kelapa Gading),64,84,26,14,46,34,84,PM25,SEDANG
2021-11-06,DKI2 (Kelapa Gading),51,73,13,11,52,26,73,PM25,SEDANG
2021-11-07,DKI2 (Kelapa Gading),39,62,7,10,55,17,62,PM25,SEDANG
2021-11-08,DKI2 (Kelapa Gading),53,73,---,14,39,26,73,PM25,SEDANG
2021-11-09,DKI2 (Kelapa Gading),61,86,---,11,47,28,86,PM25,SEDANG
2021-11-10,DKI2 (Kelapa Gading),32,59,---,9,36,21,59,PM25,SEDANG
2021-11-11,DKI2 (Kelapa Gading),37,58,28,11,36,21,58,PM25,SEDANG
2021-11-12,DKI2 (Kelapa Gading),34,54,18,9,38,19,54,PM25,SEDANG
2021-11-13,DKI2 (Kelapa Gading),---,78,---,16,52,25,78,PM25,SEDANG
2021-11-14,DKI2 (Kelapa Gading),---,59,---,13,46,19,59,PM25,SEDANG
2021-11-15,DKI2 (Kelapa Gading),---,57,---,9,36,17,57,PM25,SEDANG
2021-11-16,DKI2 (Kelapa Gading),28,53,5,8,41,14,53,PM25,SEDANG
2021-11-17,DKI2 (Kelapa Gading),60,80,21,11,45,27,80,PM25,SEDANG
2021-11-18,DKI2 (Kelapa Gading),58,81,14,10,56,24,81,PM25,SEDANG
2021-11-19,DKI2 (Kelapa Gading),32,45,5,7,42,12,45,PM25,BAIK
2021-11-20,DKI2 (Kelapa Gading),29,50,7,8,41,16,50,PM25,BAIK
2021-11-21,DKI2 (Kelapa Gading),40,58,7,15,45,18,58,PM25,SEDANG
2021-11-22,DKI2 (Kelapa Gading),25,44,8,7,41,12,44,PM25,BAIK
2021-11-23,DKI2 (Kelapa Gading),25,55,5,7,41,9,55,PM25,SEDANG
2021-11-24,DKI2 (Kelapa Gading),21,45,4,7,37,12,45,PM25,BAIK
2021-11-25,DKI2 (Kelapa Gading),39,58,7,9,40,21,58,PM25,SEDANG
2021-11-26,DKI2 (Kelapa Gading),48,68,11,11,39,31,68,PM25,SEDANG
2021-11-27,DKI2 (Kelapa Gading),34,---,7,8,45,15,45,O3,BAIK
2021-11-28,DKI2 (Kelapa Gading),18,---,3,7,47,9,47,O3,BAIK
2021-11-29,DKI2 (Kelapa Gading),22,---,4,8,42,12,42,O3,BAIK
2021-11-30,DKI2 (Kelapa Gading),30,---,5,8,44,17,44,O3,BAIK
2021-11-01,DKI3 (Jagakarsa),50,71,51,17,27,20,71,PM25,SEDANG
