tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-10-01,DKI1 (Bunderan HI),57,81,30,11,32,38,81,PM25,SEDANG
2021-10-02,DKI1 (Bunderan HI),67,99,32,11,30,35,99,PM25,SEDANG
2021-10-03,DKI1 (Bunderan HI),70,85,29,10,28,28,85,PM25,SEDANG
2021-10-04,DKI1 (Bunderan HI),58,82,30,11,34,29,82,PM25,SEDANG
2021-10-05,DKI1 (Bunderan HI),55,76,29,11,30,33,76,PM25,SEDANG
2021-10-06,DKI1 (Bunderan HI),60,83,38,10,26,35,83,PM25,SEDANG
2021-10-07,DKI1 (Bunderan HI),45,62,29,9,21,28,62,PM25,SEDANG
2021-10-08,DKI1 (Bunderan HI),54,77,33,11,24,35,77,PM25,SEDANG
2021-10-09,DKI1 (Bunderan HI),52,69,27,9,32,29,69,PM25,SEDANG
2021-10-10,DKI1 (Bunderan HI),58,83,26,9,38,26,83,PM25,SEDANG
2021-10-11,DKI1 (Bunderan HI),59,80,29,10,35,30,80,PM25,SEDANG
2021-10-12,DKI1 (Bunderan HI),56,76,37,9,23,35,76,PM25,SEDANG
2021-10-13,DKI1 (Bunderan HI),52,67,28,8,25,31,67,PM25,SEDANG
2021-10-14,DKI1 (Bunderan HI),64,90,33,11,35,35,90,PM25,SEDANG
2021-10-15,DKI1 (Bunderan HI),75,106,29,12,34,37,106,PM25,TIDAK SEHAT
2021-10-16,DKI1 (Bunderan HI),66,95,28,15,32,44,95,PM25,SEDANG
2021-10-17,DKI1 (Bunderan HI),65,93,34,11,36,30,93,PM25,SEDANG
2021-10-18,DKI1 (Bunderan HI),44,55,25,9,19,26,55,PM25,SEDANG
2021-10-19,DKI1 (Bunderan HI),41,58,29,14,15,30,58,PM25,SEDANG
2021-10-20,DKI1 (Bunderan HI),33,53,29,10,21,27,53,PM25,SEDANG
2021-10-21,DKI1 (Bunderan HI),45,65,25,9,28,32,65,PM25,SEDANG
2021-10-22,DKI1 (Bunderan HI),64,95,31,18,19,48,95,PM25,SEDANG
2021-10-23,DKI1 (Bunderan HI),57,83,29,10,20,36,83,PM25,SEDANG
2021-10-24,DKI1 (Bunderan HI),58,85,27,11,28,36,85,PM25,SEDANG
2021-10-25,DKI1 (Bunderan HI),62,95,27,14,33,37,95,PM25,SEDANG
2021-10-26,DKI1 (Bunderan HI),55,78,29,14,23,43,78,PM25,SEDANG
2021-10-27,DKI1 (Bunderan HI),55,76,29,15,22,39,76,PM25,SEDANG
2021-10-28,DKI1 (Bunderan HI),51,69,28,16,22,39,69,PM25,SEDANG
2021-10-29,DKI1 (Bunderan HI),50,64,31,19,18,35,64,PM25,SEDANG
2021-10-30,DKI1 (Bunderan HI),48,68,31,12,25,40,68,PM25,SEDANG
2021-10-31,DKI1 (Bunderan HI),53,70,27,11,32,32,70,PM25,SEDANG
2021-10-01,DKI2 (Kelapa Gading),57,84,59,10,65,16,84,PM25,SEDANG
2021-10-02,DKI2 (Kelapa Gading),70,103,61,10,58,17,103,PM25,TIDAK SEHAT
2021-10-03,DKI2 (Kelapa Gading),64,86,62,11,53,18,86,PM25,SEDANG
2021-10-04,DKI2 (Kelapa Gading),62,95,60,11,64,24,95,PM25,SEDANG
2021-10-05,DKI2 (Kelapa Gading),65,90,67,11,54,27,90,PM25,SEDANG
2021-10-06,DKI2 (Kelapa Gading),65,91,66,9,58,23,91,PM25,SEDANG
2021-10-07,DKI2 (Kelapa Gading),49,64,60,9,50,20,64,PM25,SEDANG
2021-10-08,DKI2 (Kelapa Gading),60,85,64,10,54,20,85,PM25,SEDANG
2021-10-09,DKI2 (Kelapa Gading),53,77,62,9,60,19,77,PM25,SEDANG
2021-10-10,DKI2 (Kelapa Gading),60,83,61,9,72,12,83,PM25,SEDANG
2021-10-11,DKI2 (Kelapa Gading),68,100,64,12,66,26,100,PM25,SEDANG
2021-10-12,DKI2 (Kelapa Gading),77,105,76,12,49,31,105,PM25,TIDAK SEHAT
2021-10-13,DKI2 (Kelapa Gading),57,76,63,9,58,18,76,PM25,SEDANG
2021-10-14,DKI2 (Kelapa Gading),73,105,65,12,70,28,105,PM25,TIDAK SEHAT
2021-10-15,DKI2 (Kelapa Gading),82,108,64,13,64,27,108,PM25,TIDAK SEHAT
2021-10-16,DKI2 (Kelapa Gading),64,95,63,13,63,28,95,PM25,SEDANG
2021-10-17,DKI2 (Kelapa Gading),71,---,63,12,65,22,71,PM10,SEDANG
2021-10-18,DKI2 (Kelapa Gading),50,60,58,9,45,13,60,PM25,SEDANG
2021-10-19,DKI2 (Kelapa Gading),46,63,60,16,42,29,63,PM25,SEDANG
2021-10-20,DKI2 (Kelapa Gading),50,67,73,11,50,26,73,SO2,SEDANG
2021-10-21,DKI2 (Kelapa Gading),52,68,61,9,57,24,68,PM25,SEDANG
2021-10-22,DKI2 (Kelapa Gading),73,115,82,14,46,38,115,PM25,TIDAK SEHAT
2021-10-23,DKI2 (Kelapa Gading),67,95,81,10,53,28,95,PM25,SEDANG
2021-10-24,DKI2 (Kelapa Gading),62,96,60,12,62,21,96,PM25,SEDANG
2021-10-25,DKI2 (Kelapa Gading),65,100,62,12,70,27,100,PM25,SEDANG
2021-10-26,DKI2 (Kelapa Gading),63,83,67,13,50,32,83,PM25,SEDANG
2021-10-27,DKI2 (Kelapa Gading),62,86,64,10,49,21,86,PM25,SEDANG
2021-10-28,DKI2 (Kelapa Gading),51,70,67,12,49,30,70,PM25,SEDANG
2021-10-29,DKI2 (Kelapa Gading),54,74,80,14,49,26,80,SO2,SEDANG
2021-10-30,DKI2 (Kelapa Gading),64,90,81,13,56,32,90,PM25,SEDANG
2021-10-31,DKI2 (Kelapa Gading),56,79,63,12,56,28,79,PM25,SEDANG
2021-10-01,DKI3 (Jagakarsa),58,77,49,9,35,11,77,PM25,SEDANG
2021-10-02,DKI3 (Jagakarsa),64,100,50,12,28,27,100,PM25,SEDANG
2021-10-03,DKI3 (Jagakarsa),54,76,50,8,32,14,76,PM25,SEDANG
2021-10-04,DKI3 (Jagakarsa),52,72,50,9,36,11,72,PM25,SEDANG
2021-10-05,DKI3 (Jagakarsa),42,65,51,7,36,10,65,PM25,SEDANG
2021-10-06,DKI3 (Jagakarsa),48,67,51,6,34,11,67,PM25,SEDANG
2021-10-07,DKI3 (Jagakarsa),44,62,50,7,28,11,62,PM25,SEDANG
2021-10-08,DKI3 (Jagakarsa),---,---,---,---,---,---,0,,TIDAK ADA DATA
2021-10-09,DKI3 (Jagakarsa),45,63,51,7,38,11,63,PM25,SEDANG
2021-10-10,DKI3 (Jagakarsa),55,77,51,9,40,14,77,PM25,SEDANG
2021-10-11,DKI3 (Jagakarsa),58,79,51,10,39,12,79,PM25,SEDANG
2021-10-12,DKI3 (Jagakarsa),47,65,51,8,37,11,65,PM25,SEDANG
2021-10-13,DKI3 (Jagakarsa),52,71,52,9,38,15,71,PM25,SEDANG
2021-10-14,DKI3 (Jagakarsa),61,88,51,12,32,17,88,PM25,SEDANG
2021-10-15,DKI3 (Jagakarsa),72,107,52,14,40,19,107,PM25,TIDAK SEHAT
2021-10-16,DKI3 (Jagakarsa),64,92,51,15,35,18,92,PM25,SEDANG
2021-10-17,DKI3 (Jagakarsa),65,95,51,15,39,18,95,PM25,SEDANG
2021-10-18,DKI3 (Jagakarsa),51,66,50,11,24,15,66,PM25,SEDANG
2021-10-19,DKI3 (Jagakarsa),45,61,50,15,18,17,61,PM25,SEDANG
2021-10-20,DKI3 (Jagakarsa),36,52,51,10,29,12,52,PM25,SEDANG
2021-10-21,DKI3 (Jagakarsa),53,74,53,11,29,15,74,PM25,SEDANG
2021-10-22,DKI3 (Jagakarsa),58,82,51,15,---,17,82,PM25,SEDANG
2021-10-23,DKI3 (Jagakarsa),59,87,52,13,39,21,87,PM25,SEDANG
2021-10-24,DKI3 (Jagakarsa),68,102,51,17,47,18,102,PM25,TIDAK SEHAT
2021-10-25,DKI3 (Jagakarsa),62,90,51,13,38,15,90,PM25,SEDANG
2021-10-26,DKI3 (Jagakarsa),51,71,51,13,30,15,71,PM25,SEDANG
2021-10-27,DKI3 (Jagakarsa),45,64,52,8,33,13,64,PM25,SEDANG
2021-10-28,DKI3 (Jagakarsa),47,60,51,14,15,18,60,PM25,SEDANG
2021-10-29,DKI3 (Jagakarsa),37,31,52,17,13,18,52,SO2,SEDANG
2021-10-30,DKI3 (Jagakarsa),48,31,51,12,39,18,51,SO2,SEDANG
2021-10-31,DKI3 (Jagakarsa),45,27,---,28,39,---,45,PM10,BAIK
2021-10-01,DKI4 (Lubang Buaya),---,91,45,10,35,33,91,PM25,SEDANG
2021-10-02,DKI4 (Lubang Buaya),---,127,46,10,35,19,127,PM25,TIDAK SEHAT
2021-10-03,DKI4 (Lubang Buaya),---,96,44,9,32,19,96,PM25,SEDANG
2021-10-04,DKI4 (Lubang Buaya),---,110,44,11,33,24,110,PM25,TIDAK SEHAT
2021-10-05,DKI4 (Lubang Buaya),---,---,---,---,---,---,0,,TIDAK ADA DATA
2021-10-06,DKI4 (Lubang Buaya),66,103,47,8,37,17,103,PM25,TIDAK SEHAT
2021-10-07,DKI4 (Lubang Buaya),52,77,41,7,27,23,77,PM25,SEDANG
2021-10-08,DKI4 (Lubang Buaya),58,98,45,9,30,22,98,PM25,SEDANG
2021-10-09,DKI4 (Lubang Buaya),55,83,47,7,36,21,83,PM25,SEDANG
2021-10-10,DKI4 (Lubang Buaya),61,97,42,9,43,16,97,PM25,SEDANG
2021-10-11,DKI4 (Lubang Buaya),62,100,43,10,44,26,100,PM25,SEDANG
2021-10-12,DKI4 (Lubang Buaya),70,111,47,9,32,25,111,PM25,TIDAK SEHAT
2021-10-13,DKI4 (Lubang Buaya),---,91,44,8,38,19,91,PM25,SEDANG
2021-10-14,DKI4 (Lubang Buaya),---,131,44,12,45,32,131,PM25,TIDAK SEHAT
2021-10-15,DKI4 (Lubang Buaya),100,157,41,15,50,26,157,PM25,TIDAK SEHAT
2021-10-16,DKI4 (Lubang Buaya),67,122,40,14,51,23,122,PM25,TIDAK SEHAT
2021-10-17,DKI4 (Lubang Buaya),---,126,39,13,53,27,126,PM25,TIDAK SEHAT
2021-10-18,DKI4 (Lubang Buaya),57,88,42,11,32,19,88,PM25,SEDANG
2021-10-19,DKI4 (Lubang Buaya),52,80,41,18,31,23,80,PM25,SEDANG
2021-10-20,DKI4 (Lubang Buaya),---,96,45,10,33,17,96,PM25,SEDANG
2021-10-21,DKI4 (Lubang Buaya),---,---,44,10,48,18,48,O3,BAIK
2021-10-22,DKI4 (Lubang Buaya),71,120,45,13,36,21,120,PM25,TIDAK SEHAT
2021-10-23,DKI4 (Lubang Buaya),65,109,45,10,35,20,109,PM25,TIDAK SEHAT
2021-10-24,DKI4 (Lubang Buaya),68,113,44,15,39,23,113,PM25,TIDAK SEHAT
2021-10-25,DKI4 (Lubang Buaya),62,104,44,11,41,22,104,PM25,TIDAK SEHAT
2021-10-26,DKI4 (Lubang Buaya),75,130,45,16,36,24,130,PM25,TIDAK SEHAT
2021-10-27,DKI4 (Lubang Buaya),59,90,43,10,50,21,90,PM25,SEDANG
2021-10-28,DKI4 (Lubang Buaya),54,78,40,11,56,18,78,PM25,SEDANG
2021-10-29,DKI4 (Lubang Buaya),51,79,41,15,45,15,79,PM25,SEDANG
2021-10-30,DKI4 (Lubang Buaya),62,103,43,15,58,18,103,PM25,TIDAK SEHAT
2021-10-31,DKI4 (Lubang Buaya),---,79,---,---,---,---,79,PM25,SEDANG
2021-10-01,DKI5 (Kebon Jeruk) Jakarta Barat,55,84,---,8,34,12,84,PM25,SEDANG
2021-10-02,DKI5 (Kebon Jeruk) Jakarta Barat,67,102,---,10,31,16,102,PM25,TIDAK SEHAT
2021-10-03,DKI5 (Kebon Jeruk) Jakarta Barat,55,82,---,8,28,12,82,PM25,SEDANG
2021-10-04,DKI5 (Kebon Jeruk) Jakarta Barat,53,80,---,7,31,10,80,PM25,SEDANG
2021-10-05,DKI5 (Kebon Jeruk) Jakarta Barat,52,79,---,10,35,16,79,PM25,SEDANG
2021-10-06,DKI5 (Kebon Jeruk) Jakarta Barat,52,74,---,6,28,14,74,PM25,SEDANG
2021-10-07,DKI5 (Kebon Jeruk) Jakarta Barat,50,71,---,8,25,17,71,PM25,SEDANG
2021-10-08,DKI5 (Kebon Jeruk) Jakarta Barat,53,81,---,7,32,16,81,PM25,SEDANG
2021-10-09,DKI5 (Kebon Jeruk) Jakarta Barat,53,74,---,7,43,12,74,PM25,SEDANG
2021-10-10,DKI5 (Kebon Jeruk) Jakarta Barat,55,80,---,8,46,11,80,PM25,SEDANG
2021-10-11,DKI5 (Kebon Jeruk) Jakarta Barat,59,88,---,9,39,11,88,PM25,SEDANG
