tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-09-01,DKI1 (Bunderan HI),63,88,29,15,24,38,88,PM25,SEDANG
2021-09-02,DKI1 (Bunderan HI),60,83,29,11,30,28,83,PM25,SEDANG
2021-09-03,DKI1 (Bunderan HI),60,82,27,11,37,30,82,PM25,SEDANG
2021-09-04,DKI1 (Bunderan HI),58,77,26,10,31,28,77,PM25,SEDANG
2021-09-05,DKI1 (Bunderan HI),63,85,27,11,28,28,85,PM25,SEDANG
2021-09-06,DKI1 (Bunderan HI),68,92,31,11,26,24,92,PM25,SEDANG
2021-09-07,DKI1 (Bunderan HI),52,65,28,9,19,24,65,PM25,SEDANG
2021-09-08,DKI1 (Bunderan HI),53,76,25,16,23,34,76,PM25,SEDANG
2021-09-09,DKI1 (Bunderan HI),45,62,25,12,27,31,62,PM25,SEDANG
2021-09-10,DKI1 (Bunderan HI),51,66,27,10,25,32,66,PM25,SEDANG
2021-09-11,DKI1 (Bunderan HI),66,93,32,12,34,41,93,PM25,SEDANG
2021-09-12,DKI1 (Bunderan HI),61,80,26,10,28,27,80,PM25,SEDANG
2021-09-13,DKI1 (Bunderan HI),51,64,29,8,23,21,64,PM25,SEDANG
2021-09-14,DKI1 (Bunderan HI),31,42,24,8,20,19,42,PM25,BAIK
2021-09-15,DKI1 (Bunderan HI),54,81,29,20,20,45,81,PM25,SEDANG
2021-09-16,DKI1 (Bunderan HI),48,65,29,9,23,24,65,PM25,SEDANG
2021-09-17,DKI1 (Bunderan HI),42,66,29,7,26,20,66,PM25,SEDANG
2021-09-18,DKI1 (Bunderan HI),50,73,29,8,23,22,73,PM25,SEDANG
2021-09-19,DKI1 (Bunderan HI),53,78,26,8,33,19,78,PM25,SEDANG
2021-09-20,DKI1 (Bunderan HI),51,69,27,10,25,34,69,PM25,SEDANG
2021-09-21,DKI1 (Bunderan HI),55,81,28,11,29,36,81,PM25,SEDANG
2021-09-22,DKI1 (Bunderan HI),57,80,29,11,24,32,80,PM25,SEDANG
2021-09-23,DKI1 (Bunderan HI),54,80,29,8,27,22,80,PM25,SEDANG
2021-09-24,DKI1 (Bunderan HI),57,74,34,8,20,26,74,PM25,SEDANG
2021-09-25,DKI1 (Bunderan HI),49,67,31,7,24,20,67,PM25,SEDANG
2021-09-26,DKI1 (Bunderan HI),52,72,28,6,28,19,72,PM25,SEDANG
2021-09-27,DKI1 (Bunderan HI),51,72,27,12,22,33,72,PM25,SEDANG
2021-09-28,DKI1 (Bunderan HI),45,63,25,9,24,28,63,PM25,SEDANG
2021-09-29,DKI1 (Bunderan HI),54,76,26,12,29,38,76,PM25,SEDANG
2021-09-30,DKI1 (Bunderan HI),63,94,27,13,38,37,94,PM25,SEDANG
2021-09-01,DKI2 (Kelapa Gading),79,102,55,14,30,29,102,PM25,TIDAK SEHAT
2021-09-02,DKI2 (Kelapa Gading),66,89,52,10,39,19,89,PM25,SEDANG
2021-09-03,DKI2 (Kelapa Gading),66,87,51,9,39,18,87,PM25,SEDANG
2021-09-04,DKI2 (Kelapa Gading),62,79,50,9,37,18,79,PM25,SEDANG
2021-09-05,DKI2 (Kelapa Gading),74,100,52,12,35,22,100,PM25,SEDANG
2021-09-06,DKI2 (Kelapa Gading),66,87,51,10,34,13,87,PM25,SEDANG
2021-09-07,DKI2 (Kelapa Gading),58,72,51,9,27,16,72,PM25,SEDANG
2021-09-08,DKI2 (Kelapa Gading),64,87,52,13,27,31,87,PM25,SEDANG
2021-09-09,DKI2 (Kelapa Gading),68,88,54,12,35,29,88,PM25,SEDANG
2021-09-10,DKI2 (Kelapa Gading),58,77,53,9,32,20,77,PM25,SEDANG
2021-09-11,DKI2 (Kelapa Gading),70,99,53,11,46,22,99,PM25,SEDANG
2021-09-12,DKI2 (Kelapa Gading),66,82,51,9,36,12,82,PM25,SEDANG
2021-09-13,DKI2 (Kelapa Gading),56,71,52,9,27,14,71,PM25,SEDANG
2021-09-14,DKI2 (Kelapa Gading),36,47,50,8,47,15,50,SO2,BAIK
2021-09-15,DKI2 (Kelapa Gading),69,95,54,17,45,35,95,PM25,SEDANG
2021-09-16,DKI2 (Kelapa Gading),52,66,52,8,52,15,66,PM25,SEDANG
2021-09-17,DKI2 (Kelapa Gading),46,66,51,7,53,9,66,PM25,SEDANG
2021-09-18,DKI2 (Kelapa Gading),56,79,53,8,51,15,79,PM25,SEDANG
2021-09-19,DKI2 (Kelapa Gading),52,73,50,8,68,10,73,PM25,SEDANG
